Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
42,23.187604904174805,-1.321608066558838,87.86255645751953,2.134567952063673,1.558494037698737,18.93481687725992,-38.94113,2.0890527,-1.3041601,28.918346,-2.996343,-9.088243,29.35484,-0.11505864,-19.961279,1.8505774,-11.031435,6.681397,3.8537948,7.774975,16.590815,8.238268,10.439908,-25.39048,60.315205,-7.2089176,3.0420902,8.183867,-4.343617,-22.271446,28.042492,58.769566,2.8050435,2.6393547,-7.986253
43,25.82230567932129,-0.4395236372947693,87.29131317138672,2.5929921029708995,1.3309457836954952,19.246768733179294,-37.838295,0.606784,-1.9896688,29.54781,-1.9613986,-8.869182,31.346083,-0.7328133,-19.507795,2.0086522,-10.457499,6.8952703,3.898194,7.5280943,16.363842,8.908841,10.212478,-25.319899,61.697704,-7.047165,3.1980538,7.8211203,-4.326428,-22.696726,27.903566,58.02546,2.6282477,2.9769013,-7.65761
44,28.550708770751953,0.5109357833862305,87.43366241455078,3.265199440231691,0.5602073224748437,19.420264653832312,-36.288742,-0.99795187,-3.023869,31.766655,-1.2498734,-8.422009,33.30402,-0.7298787,-19.43773,2.3490062,-8.302089,6.887017,3.892931,7.265107,15.976782,9.049919,10.015777,-25.79944,63.59228,-7.1918406,3.4615362,7.5640225,-3.5446608,-22.865429,28.246134,57.975155,3.0499,2.9309003,-7.723656
45,31.376800537109375,1.5310829877853394,87.90386962890625,3.3668133318516094,-0.540837910136771,20.256819107053225,-33.89063,-2.443222,-4.946016,33.859303,-1.8263618,-7.848254,35.479435,-0.08332163,-19.858927,3.4500487,-2.700794,6.538039,3.2538059,7.308712,15.642081,9.380497,9.879638,-25.992117,65.49306,-7.7986193,3.8824184,7.593104,-2.2051477,-22.822964,28.792074,58.647224,3.5960662,2.646744,-7.153245
46,33.97520446777344,2.572281837463379,88.35981750488281,7.148170867214728,1.7752087238906193,17.709680151711154,-32.569843,-4.63594,-1.1939569,31.71181,-1.5843686,-6.3641434,18.854294,-10.196831,-16.308199,36.59884,-9.327115,6.32964,6.6130586,2.6356115,12.117493,9.348605,9.839361,-25.944664,67.367455,-8.9345,3.9559493,7.578435,-0.12821916,-22.318539,29.611437,59.09878,4.0036154,2.4394972,-6.623886
47,36.75699996948242,3.6445672512054443,89.06234741210938,7.523424127730747,1.0766049844564203,17.845196789480266,-29.596731,-5.834413,-1.5272305,32.335888,-3.2680051,-4.9943895,14.325992,-11.592998,-14.832597,47.795815,-3.3992403,5.582847,6.0215745,1.3622746,11.321709,8.771402,9.934251,-25.831717,68.365814,-10.196114,3.978794,7.915643,1.2664778,-21.624989,30.348892,59.917194,4.1689143,2.1762803,-6.182389
48,39.546905517578125,4.698943138122559,89.71141815185547,7.948090158727121,0.43117100783235557,18.23167949153377,-26.48403,-7.312406,-2.5642807,32.731342,-4.93783,-3.7169652,8.517591,-12.338462,-13.409603,59.265125,0.8518278,5.1949906,5.2608876,0.3758433,10.712495,7.7022257,10.104882,-26.058666,68.76297,-10.5698,3.7540383,8.723068,2.7684097,-20.841738,31.068651,60.455803,3.6923788,2.2681055,-6.533976
49,42.34193420410156,5.726635456085205,90.46143341064453,8.052890861100444,-0.4211357811870998,18.46482579931083,-22.411081,-7.7097583,-2.6679206,31.993782,-6.958977,-1.7615889,1.6719167,-13.919343,-13.494575,70.19084,1.6249006,4.0356317,3.9490516,-0.55870384,10.353322,6.1713743,10.389793,-25.943043,68.85771,-10.35502,3.6187172,9.109057,4.0542994,-20.024889,31.38979,61.322998,3.101413,2.5704644,-6.803029
50,45.18358612060547,6.715875625610352,91.16944885253906,8.166001174672628,-1.3414991866442274,18.37589646093068,-17.886387,-7.761865,-2.4219124,30.661036,-8.13735,-0.58275026,-5.0453086,-16.39466,-14.444912,77.967995,-1.7364651,2.6341572,2.329162,-1.0922605,10.58675,4.1714582,10.677862,-26.194756,68.36182,-10.667805,3.6449974,9.549334,4.143616,-19.358007,31.712433,62.695606,2.7967086,2.9728627,-6.7625494
51,48.125667572021484,7.67656946182251,91.76158142089844,7.964764094755507,-1.9671506489307293,18.270869888137323,-13.649527,-7.917547,-3.391224,29.300495,-9.589266,-0.4476021,-11.31681,-18.482615,-14.644521,82.67982,-5.802131,0.54404837,0.6868814,-1.3678713,10.778945,1.9718302,10.978979,-26.459202,67.33686,-10.616153,3.5490901,10.201505,4.6857386,-18.792002,31.658499,63.843925,3.4767888,3.195846,-6.742787
